vector,model,accuracy,precision,recall,f1,auc
v1,LR,0.978524196851776,0.06233766233766234,0.8,0.11566265060240964,0.9026125017097524
v1,DT,0.9967815553865059,0.288135593220339,0.5666666666666667,0.38202247191011235,0.7821023115852824
v1,RF,0.9992392767277196,0.8148148148148148,0.7333333333333333,0.7719298245614035,0.9238026847998124
v1,NB,0.9913979753057522,0.10738255033557047,0.5333333333333333,0.1787709497206704,0.9261406491197217
v1,ANN,0.9005208028556382,0.015098722415795587,0.8666666666666667,0.02968036529680365,0.9035523770443754
v2,LR,0.9906372520334719,0.1388888888888889,0.8333333333333334,0.23809523809523808,0.9624499286788988
v2,DT,0.9983615191058576,0.525,0.7,0.6,0.8494431092092151
v2,RF,0.9992977939025104,0.875,0.7,0.7777777777777778,0.9433642065771733
v2,NB,0.9937386622973843,0.15315315315315314,0.5666666666666667,0.24113475177304963,0.9589268616761436
v2,ANN,0.9928609046755222,0.17142857142857143,0.8,0.2823529411764706,0.934192117552807
v3,LR,0.9885891509157938,0.11981566820276497,0.8666666666666667,0.21052631578947367,0.988080583074428
v3,DT,0.9981274504066944,0.4772727272727273,0.7,0.5675675675675675,0.849325869042734
v3,RF,0.9992977939025104,0.875,0.7,0.7777777777777778,0.9272778787345878
v3,NB,0.978231610977822,0.06598984771573604,0.8666666666666667,0.12264150943396226,0.9505353967602634
v3,ANN,0.9978348645327404,0.43636363636363634,0.8,0.5647058823529412,0.9464896340152803
v4,LR,0.9806308151442449,0.07365439093484419,0.8666666666666667,0.13577023498694518,0.9529241651523146
v4,DT,0.9960208321142255,0.25,0.6333333333333333,0.3584905660377358,0.8149959942943119
v4,RF,0.9989466908537655,0.6764705882352942,0.7666666666666667,0.71875,0.9595511655626551
v4,NB,0.9913979753057522,0.10738255033557047,0.5333333333333333,0.1787709497206704,0.935557965492311
v4,ANN,0.9889987711393294,0.105,0.7,0.1826086956521739,0.9331291400433789
v5,LR,0.9892913570132834,0.12315270935960591,0.8333333333333334,0.2145922746781116,0.976550012701018
v5,DT,0.9977763473579495,0.4166666666666667,0.6666666666666666,0.5128205128205128,0.832512652167966
v5,RF,0.9992977939025104,0.875,0.7,0.7777777777777778,0.9270658694335345
v5,NB,0.9941482825209199,0.19298245614035087,0.7333333333333333,0.3055555555555556,0.9624890087343924
v5,ANN,0.9606179413657908,0.03607503607503607,0.8333333333333334,0.06915629322268327,0.9630341755085292
FULL,LR,0.9909298379074258,0.14285714285714285,0.8333333333333334,0.24390243902439024,0.9630361295113039
FULL,DT,0.9983030019310668,0.5121951219512195,0.7,0.5915492957746479,0.8494137991675949
FULL,RF,0.9993563110773012,0.88,0.7333333333333333,0.8,0.9278562635558943
FULL,NB,0.9923927672771958,0.13768115942028986,0.6333333333333333,0.2261904761904762,0.9622926314555367
FULL,ANN,0.9888817367897478,0.11904761904761904,0.8333333333333334,0.20833333333333334,0.9563837270648924
